Number,Iterative,Rcursive,Memory,Logarithmic
0,-3.4028235E+38,6.355014E-06,5.0000076E-06,-3.4028235E+38
1,2.5010001E-08,2.0010003E-08,3.001E-08,1.2350098E-06
2,3.5009997E-08,2.0009999E-08,2.0010003E-08,9.500998E-08
3,3.001E-08,4.0009997E-08,2.8300115E-06,5.600099E-07
4,4.0009997E-08,5.0009994E-08,1.5501003E-07,1.8501E-07
5,1.5010004E-08,4.5009994E-08,1.893E-05,2.4501E-07
6,4.0009997E-08,1.15009996E-07,2.9530003E-05,6.700096E-07
7,5.500999E-08,1.7001E-07,2.8501E-07,3.5500997E-07
8,5.500999E-08,2.3001E-07,5.3001E-07,5.7001006E-07
9,2.5010001E-08,3.4001E-07,5.6501005E-07,8.350101E-07
10,5.500999E-08,5.350101E-07,6.9501004E-07,1.07001E-06
11,7.000999E-08,8.600099E-07,7.2001E-07,7.1001006E-07
12,6.5009985E-08,1.3900101E-06,9.7001E-07,9.4001007E-07
13,9.0009976E-08,2.27501E-06,8.7501E-07,1.5150102E-06
14,6.5009985E-08,3.59501E-06,7.1500995E-07,1.6350099E-06
15,8.500998E-08,5.8100095E-06,1.08001E-06,1.2350102E-06
16,1.00009984E-07,1.0190011E-05,1.01001E-06,1.3200099E-06
17,9.0009976E-08,1.559001E-05,1.2200102E-06,1.24001E-06
18,1.00009984E-07,2.5125013E-05,1.4550101E-06,1.43001E-06
19,1.1501E-07,4.2520016E-05,1.14501E-06,1.53001E-06
20,1.2001E-07,6.5785025E-05,1.8650098E-06,1.70001E-06
21,1.1501E-07,0.00010670001,1.8050098E-06,1.7350101E-06
22,1.1001E-07,0.0001758,2.27501E-06,2.0100097E-06
23,1.9001001E-07,0.00032236002,8.080011E-06,2.5250097E-06
24,1.5500999E-07,0.000461275,2.64001E-06,3.94501E-06
25,1.5501E-07,0.0007612851,2.96001E-06,2.26501E-06
26,1.4500998E-07,0.0012602049,3.1250104E-06,2.47501E-06
27,1.6501E-07,0.00199803,2.9000098E-06,2.6850105E-06
28,1.6501E-07,0.0034913148,4.3400105E-06,3.18501E-06
29,1.8000999E-07,0.005366895,4.5300103E-06,2.92501E-06
30,1.9000997E-07,0.008291231,2.3450102E-06,4.86001E-06
31,1.8501001E-07,0.013034279,2.37001E-06,2.0300101E-06
32,1.8001E-07,0.020887597,2.1450098E-06,4.63001E-06
33,1.9000998E-07,0.03401019,4.3850096E-06,4.0650093E-06
34,2.0501E-07,0.055259537,4.51501E-06,4.7950098E-06
35,2.1000999E-07,0.10288564,5.53001E-06,5.185009E-06
