Number,Iterative,Rcursive,Memory,Logarithmic
0,1E-11,2.655011E-06,4.8600077E-06,1E-11
1,3.001E-08,5.009999E-09,3.001E-08,1.1850098E-06
2,3.5009997E-08,3.5009997E-08,1.5010002E-08,3.150099E-07
3,3.5009997E-08,3.5009997E-08,2.6850114E-06,6.350098E-07
4,4.0009997E-08,6.5009985E-08,1.5501004E-07,1.8001E-07
5,2.0010003E-08,7.500999E-08,1.9265E-05,2.6001004E-07
6,4.5009994E-08,9.0500987E-07,3.2725E-05,6.950097E-07
7,6.5009985E-08,1.6000999E-07,3.0501002E-07,1.08001E-06
8,6.5009985E-08,2.4001E-07,1.3700101E-06,6.0001014E-07
9,8.300096E-07,3.4501E-07,5.9501E-07,9.700101E-07
10,6.000999E-08,5.450101E-07,2.2950103E-06,1.1150099E-06
11,6.5009985E-08,8.550099E-07,7.750101E-07,8.4501005E-07
12,8.500998E-08,1.3850101E-06,8.100101E-07,8.200101E-07
13,7.000999E-08,2.2500099E-06,8.850101E-07,1.69501E-06
14,1.00009984E-07,7.66501E-06,1.5350103E-06,1.8950099E-06
15,9.000998E-08,7.05001E-06,2.3100101E-06,1.4850103E-06
16,1.5001004E-07,1.628501E-05,3.13501E-06,2.8550098E-06
17,9.500998E-08,1.5310008E-05,1.3750101E-06,1.47501E-06
18,1.1000999E-07,3.2095013E-05,2.71001E-06,1.6800101E-06
19,1.05009995E-07,4.4985012E-05,1.2450098E-06,1.8250103E-06
20,1.1501E-07,6.463002E-05,3.8800094E-06,2.3350103E-06
21,1.1001E-07,0.000105650004,1.8850096E-06,1.8500099E-06
22,1.2001E-07,0.00016836503,2.11001E-06,1.8950097E-06
23,1.4001E-07,0.00028858,2.3400096E-06,1.8500101E-06
24,1.7501003E-07,0.00045087998,2.4550102E-06,2.3550097E-06
25,1.5001E-07,0.000733995,2.19501E-06,2.0950097E-06
26,1.7001E-07,0.0011821451,2.6550101E-06,2.3800098E-06
27,1.8000999E-07,0.0019261297,3.2000098E-06,3.2250105E-06
28,1.5501003E-07,0.00308321,2.8550098E-06,2.8250101E-06
29,1.9500999E-07,0.0049055098,3.4400102E-06,2.4150102E-06
30,1.9000998E-07,0.00801046,2.19001E-06,4.6250098E-06
31,1.9001E-07,0.012961231,2.02001E-06,2.4800104E-06
32,2.0001E-07,0.021214407,3.05001E-06,5.89501E-06
33,2.0501E-07,0.035501614,5.14501E-06,4.3950085E-06
34,1.8501E-07,0.064857714,4.80001E-06,6.2250097E-06
35,2.0501E-07,0.09316009,4.96001E-06,5.16001E-06
